Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-25 17:59:07,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.136,8.136,8.136e-05,8.136e-05,-0.02,0,USDT,FINISHED
2025-02-25 17:59:08,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.138,8.138,8.138e-05,8.138e-05,0.0,0,USDT,FINISHED
2025-02-25 18:10:12,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.181,8.181,8.181e-05,8.181e-05,0.043,0,USDT,FINISHED
2025-02-25 18:10:14,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.184,8.184,8.184e-05,8.184e-05,0.0,0,USDT,FINISHED
2025-02-25 18:42:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.157,8.157,8.157e-05,8.157e-05,0.027,0,USDT,FINISHED
2025-02-25 18:42:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.154,8.154,8.154e-05,8.154e-05,0.0,0,USDT,FINISHED
2025-02-25 19:01:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.139,8.139,8.139e-05,8.139e-05,-0.015,0,USDT,FINISHED
2025-02-25 19:01:04,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.139,8.139,8.139e-05,8.139e-05,0.0,0,USDT,FINISHED
2025-02-25 19:21:02,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.146,8.146,8.146e-05,8.146e-05,-0.007,0,USDT,FINISHED
2025-02-25 19:21:03,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.143,8.143,8.143e-05,8.143e-05,0.0,0,USDT,FINISHED
2025-02-25 19:39:04,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.132,8.132,8.132e-05,8.132e-05,-0.011,0,USDT,FINISHED
2025-02-25 19:39:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.132,8.132,8.132e-05,8.132e-05,0.0,0,USDT,FINISHED
2025-02-25 20:16:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.109,8.109,8.109e-05,8.109e-05,0.023,0,USDT,FINISHED
2025-02-25 20:16:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.107,8.107,8.107e-05,8.107e-05,0.0,0,USDT,FINISHED
2025-02-25 20:29:05,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.116,8.116,8.116e-05,8.116e-05,0.009,0,USDT,FINISHED
2025-02-25 20:29:06,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.116,8.116,8.116e-05,8.116e-05,0.0,0,USDT,FINISHED
